model,accuracy,precision_churn_1,recall_churn_1,f1_churn_1,precision_nochurn_0,recall_nochurn_0,f1_nochurn_0,pr_auc_nochurn_0
logreg,0.46698802220274616,0.990880503144654,0.4653670063506129,0.6333031856094865,0.012547735951991271,0.6133333333333333,0.02459235498529805,0.03509759746208833
random_forest,0.9890446976336547,0.9890446976336547,1.0,0.9944921788940295,0.0,0.0,0.0,0.013527851654819888
